"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.188000800E-2,3.529071808E-3,-1.175642014E-2,-1.596689224E-2
2.987663000E-2,9.807634354E-2,-3.087091446E-2,-6.974697113E-3
3.787117300E-2,8.799803257E-2,-5.192756653E-4,-2.880764008E-2
4.586779400E-2,1.113177538E-1,8.089876175E-2,-5.145835876E-2
5.386372200E-2,7.237946987E-2,1.205716133E-1,-8.859777451E-2
6.185757400E-2,6.578207016E-3,1.476664543E-1,-9.394073486E-2
6.988434800E-2,2.674114704E-2,1.681976318E-1,-2.368068695E-2
7.788219900E-2,8.117020130E-2,1.313099861E-1,-6.498336792E-3
8.587643500E-2,5.306935310E-2,9.918785095E-2,-1.234102249E-2
9.387336400E-2,3.934884071E-2,7.695722580E-2,-3.142976761E-2
1.018662150E-1,6.631445885E-2,5.203104019E-2,-5.401182175E-2
1.098619130E-1,7.336628437E-2,1.953554153E-2,-6.263875961E-2
1.178607640E-1,5.484151840E-2,-1.495647430E-2,-6.844186783E-2
1.258835390E-1,-2.904772758E-3,-2.173042297E-2,-5.976295471E-2
1.338792360E-1,-4.889404774E-2,-3.169822693E-2,-4.391193390E-3
1.418767800E-1,-1.140761375E-1,-2.480792999E-2,7.298421860E-2
1.498702460E-1,-1.361860037E-1,-1.371812820E-2,7.478046417E-2
1.578690990E-1,-9.251332283E-2,-1.328325272E-2,3.411293030E-3
1.658635650E-1,-3.302490711E-2,3.076314926E-2,2.359104156E-2
1.738576470E-1,-6.473064423E-4,4.130601883E-2,1.841354370E-2
1.818853440E-1,1.753747463E-2,5.657958984E-2,-2.208709717E-3
1.898816580E-1,3.428065777E-2,8.647775650E-2,4.323673248E-2
1.978758170E-1,9.142184258E-2,7.151603699E-2,3.721523285E-2
2.058705910E-1,5.755972862E-2,4.835271835E-2,2.162933350E-2
2.138663660E-1,8.542764187E-2,2.646303177E-2,-3.638029099E-2
2.218623720E-1,1.965141296E-2,4.932260513E-2,2.456617355E-2
2.298571460E-1,1.037099361E-1,4.100084305E-2,1.532888412E-2
2.378850740E-1,1.112245321E-1,1.670360565E-3,-1.886558533E-2
2.458814640E-1,8.177316189E-2,-6.272315979E-3,-7.157182693E-2
2.538743930E-1,-6.606352329E-2,-2.014875412E-2,-6.790399551E-2
2.618697050E-1,-4.724001884E-2,-1.950979233E-2,1.335906982E-2
2.698657100E-1,-6.990289688E-2,-1.766347885E-2,1.175079346E-1
2.778608690E-1,-7.730340958E-2,-3.351020813E-2,1.210365295E-1
2.858583370E-1,-8.939945698E-2,-2.362728119E-2,1.686792374E-1
2.938848800E-1,-3.077971935E-2,-1.462459564E-3,2.023868561E-1
3.018792700E-1,-5.732059479E-3,3.405284882E-2,1.526293755E-1
3.098768130E-1,1.929116249E-2,6.907320023E-2,9.847688675E-2
3.178715880E-1,-2.964043617E-2,8.710527420E-2,3.019857407E-2
3.258682860E-1,-2.102816105E-2,1.074285507E-1,-1.164245605E-2
3.338626760E-1,-1.450121403E-2,1.086511612E-1,-2.473068237E-2
3.418583730E-1,1.604568958E-2,8.335161209E-2,3.048896790E-3
3.498829930E-1,-3.765833378E-2,6.285524368E-2,1.396131516E-2
3.578814610E-1,-6.538641453E-2,6.399011612E-2,1.276063919E-2
3.658753890E-1,-2.407336235E-2,-2.816343307E-2,9.999561310E-2
3.738707020E-1,-8.857965469E-2,-1.116609573E-2,1.167297363E-3
3.818670140E-1,-1.353424788E-1,9.618902206E-2,-9.456253052E-2
3.898609440E-1,-1.103492975E-1,1.272430420E-1,-7.802915573E-2
3.978578720E-1,-7.581543922E-2,1.273460388E-1,-1.854515076E-2
4.058843380E-1,-5.074429512E-2,1.207070351E-1,4.300403595E-2
4.138800350E-1,-1.540098190E-1,1.256437302E-1,-2.421808243E-2
4.218735800E-1,-1.610888243E-1,1.562185287E-1,-8.361244202E-2
4.298704310E-1,-2.002230883E-1,1.467976570E-1,-4.560232162E-2
4.378673590E-1,-1.308225393E-1,1.299371719E-1,-2.687644958E-2
4.458606720E-1,-1.145206690E-1,1.103744507E-1,-8.460712433E-2
4.538562930E-1,-9.779834747E-2,1.052660942E-1,-8.485937119E-2
4.618821450E-1,-1.719143391E-1,2.854633331E-2,-1.259541512E-1
4.698778420E-1,-9.967494011E-2,9.865474701E-2,-2.684783936E-2
4.778735390E-1,3.612506390E-2,4.956007004E-2,8.360385895E-2
4.858693140E-1,-7.557153702E-3,-1.587629318E-2,5.488109589E-2
4.938665500E-1,-8.685410023E-2,-8.977890015E-3,6.412553787E-2
5.018604010E-1,-6.766116619E-2,7.734489441E-2,-5.897998810E-3
5.098572530E-1,-1.490474939E-1,1.350336075E-1,-6.563663483E-3
5.178831820E-1,-2.760844231E-1,2.333135605E-1,5.507898331E-2
5.258809560E-1,-5.479156971E-2,2.018671036E-1,-7.710266113E-2
5.338735760E-1,-2.706527710E-3,1.039443016E-1,-1.118865013E-1
5.418702740E-1,9.767532349E-3,3.549146652E-2,-5.844116211E-2
5.498650490E-1,-4.435181618E-2,1.132011414E-3,2.864408493E-2
5.578609770E-1,-1.247574091E-1,6.734943390E-2,1.042351723E-1
5.658564440E-1,-1.568912268E-1,1.231064796E-1,1.710281372E-1
5.738831410E-1,-3.921508789E-3,1.638555527E-1,2.547640800E-1
5.818788390E-1,-3.715937138E-1,1.918869019E-1,3.221130371E-1
5.898726900E-1,-1.686185598E-1,1.923236847E-1,6.214189529E-2
5.978693110E-1,-6.870877743E-2,1.971907616E-1,2.941274643E-2
6.058650080E-1,2.652302980E-1,1.760845184E-1,-4.487991333E-2
6.138617060E-1,-3.971654177E-1,3.348660469E-1,7.638549805E-2
6.218558650E-1,-3.363472223E-1,2.326116562E-1,-7.757329941E-2
6.298847160E-1,-2.025682926E-1,2.311844826E-1,-3.224835396E-1
6.378774140E-1,-2.516839504E-1,2.468857765E-1,-3.375468254E-1
6.458761120E-1,-2.357152700E-1,3.014130592E-1,-1.422276497E-1
6.538688090E-1,-1.371566057E-1,2.670297623E-1,-1.403489113E-1
6.618641990E-1,-3.379762173E-2,2.033481598E-1,-2.337770462E-1
6.698601270E-1,3.551077843E-1,1.016292572E-1,-3.085718155E-1
6.778881330E-1,-2.306926250E-2,1.138668060E-1,-1.380386353E-1
6.858842150E-1,-5.391645432E-2,7.146072388E-2,-2.167806625E-1
6.938776820E-1,1.174330711E-1,8.242225647E-2,-2.436032295E-1
7.018728410E-1,2.051650286E-1,3.260040283E-2,-1.474337578E-1
7.098715390E-1,2.588949203E-1,9.165191650E-2,-3.782558441E-2
7.178638520E-1,1.946269274E-1,8.717679977E-2,7.125091553E-2
7.258617030E-1,1.221764088E-2,4.818916321E-3,3.569335938E-1
7.338869390E-1,-6.100833416E-2,1.069021225E-2,3.961701393E-1
7.418845600E-1,-1.725029945E-2,9.918260574E-2,2.639174461E-1
7.498774880E-1,-1.355733871E-1,1.888747215E-1,2.356915474E-1
7.578738010E-1,-2.617266178E-1,3.632559776E-1,1.199645996E-1
7.658712670E-1,-3.292568922E-1,4.377331734E-1,-1.143035889E-1
7.738629660E-1,-3.106961250E-1,4.726552963E-1,-3.092908859E-1
7.818598940E-1,-2.962297201E-1,4.688310623E-1,-3.984551430E-1
7.898549760E-1,-2.354429960E-1,4.364085197E-1,-2.380127907E-1
7.978811350E-1,-2.248471975E-1,4.077939987E-1,-2.003479004E-1
8.058778330E-1,-1.794440746E-1,4.014978409E-1,-1.602988243E-1
8.138732230E-1,-1.840653419E-1,4.061107635E-1,-2.742900848E-1
8.218709970E-1,-1.298305988E-1,3.725957870E-1,-2.440333366E-1
8.298645400E-1,-2.653735876E-1,3.785190582E-1,-2.467384338E-1
8.378593140E-1,-3.912835121E-1,3.910694122E-1,-7.128906250E-2
8.458880130E-1,-4.283182621E-1,4.266862869E-1,9.310245514E-3
8.538812490E-1,-4.622647762E-1,4.727911949E-1,-4.066753387E-2
8.618777920E-1,-4.800055027E-1,4.941477776E-1,-4.695081711E-2
8.698720280E-1,-5.730375051E-1,5.281949043E-1,-6.586027145E-2
8.778679570E-1,-5.456292629E-1,4.757194519E-1,-1.061158180E-1
8.858630390E-1,-4.203130007E-1,4.108405113E-1,-4.598045349E-2
8.938602750E-1,-2.768845558E-1,3.302788734E-1,-5.212259293E-2
